Index,Rk,Team,seed,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
1,1,Duke,1,ACC,31-3,38.16,128,3,89.8,4,65.7,266,-0.019,229,10.03,56,112.4,48,102.4,63,9.31,21
2,2,Florida,1,SEC,30-4,36.16,128.6,1,92.4,10,69.6,59,0.007,159,14.42,17,114.5,17,100,19,-2.02,234
3,3,Houston,1,B12,30-4,35.44,123.2,10,87.8,2,61.4,360,0.015,137,13.66,24,113.5,34,99.9,17,2.56,100
4,4,Auburn,1,SEC,28-5,35.05,128.4,2,93.4,12,67.6,153,0.03,100,18.97,2,117.1,2,98.1,2,10.08,19
5,5,Tennessee,2,SEC,27-7,31.15,120.3,18,89.1,3,63.6,346,0.016,134,15.95,6,116.6,4,100.7,32,-0.88,202
6,6,Alabama,2,SEC,25-8,29.93,126.5,4,96.6,32,74.9,1,0.029,103,19.49,1,118.2,1,98.7,3,11.76,10
7,7,Texas Tech,3,B12,25-8,28.05,125.3,6,97.2,37,65.4,281,-0.045,293,11.25,50,111.8,57,100.6,31,-4.63,306
8,8,Michigan St.,2,B10,27-6,27.57,118.1,27,90.6,5,67.7,144,-0.009,206,13.34,27,114.2,24,100.8,39,0.33,160
9,9,Gonzaga,8,WCC,25-8,27.29,123.6,9,96.3,29,70.2,46,-0.074,341,7,72,110.8,74,103.8,81,8.86,23
10,10,Iowa St.,3,B12,24-9,26.99,119.4,20,92.4,9,68.6,102,-0.048,298,12.62,36,113.3,38,100.7,38,-0.9,205
11,11,St. John's,2,BE,30-4,26.38,113.9,65,87.5,1,70.1,49,-0.019,232,9.11,61,111.8,60,102.7,65,-0.01,170
12,12,Maryland,4,B10,25-8,26.35,118.1,28,91.8,6,69.8,56,-0.038,280,10.93,52,113,42,102.1,56,-10.47,359
13,13,Wisconsin,3,B10,26-9,25.97,122,13,96,27,67.6,152,-0.033,270,13.86,22,114.2,22,100.4,26,-0.16,178
14,14,Arizona,4,B12,22-12,25.72,122.5,12,96.8,33,69.9,54,-0.049,303,16.38,4,115.2,7,98.8,4,5.09,50
15,15,Missouri,6,SEC,22-11,24.42,125.3,5,100.9,73,68.2,121,-0.048,297,13.03,32,113.7,26,100.7,37,-9.41,355
16,16,Kentucky,3,SEC,22-11,24.26,123.8,8,99.5,56,70.9,23,0.007,157,17.84,3,116.8,3,99,6,3.71,76
17,17,Texas A&M,4,SEC,22-10,24.08,116.2,44,92.1,7,66.1,237,0.001,176,16.14,5,115.5,5,99.3,10,7.04,40
18,18,Clemson,5,ACC,27-6,23.93,118.7,24,94.7,16,64.2,327,-0.032,267,8.3,68,111.4,63,103.1,74,3.67,78
19,19,Purdue,4,B10,22-11,23.84,124.2,7,100.4,63,65,297,-0.007,197,15.71,9,115.4,6,99.7,15,10.3,18
20,20,Illinois,6,B10,21-12,23.56,121.6,15,98.1,41,71.3,18,-0.018,227,15.93,7,115,10,99,7,3.34,85
21,21,Kansas,7,B12,21-12,23.26,116,48,92.7,11,68.3,113,-0.024,250,15.48,12,114.8,12,99.3,9,8.59,29
22,22,Saint Mary's,7,WCC,28-5,23.09,115.3,56,92.2,8,61.7,359,0.005,163,5.35,90,111,71,105.6,123,5.13,48
23,23,Louisville,8,ACC,27-7,22.64,118.1,29,95.5,21,68.7,90,0.058,54,10.34,54,112.6,46,102.3,59,7.05,39
24,24,BYU,6,B12,24-9,22.39,123,11,100.6,68,67.2,180,0.036,85,11.12,51,111.8,58,100.7,34,-7.7,346
25,25,Michigan,5,B10,25-9,22.28,116,47,93.7,14,69.4,65,0.07,42,14.84,13,114.4,18,99.6,11,3.72,75
26,26,Mississippi,6,SEC,22-11,22.09,117.8,31,95.8,25,68,130,0.018,130,15.8,8,115.1,8,99.3,8,-0.63,197
27,27,UCLA,7,B10,22-10,21.76,116.8,35,95.1,17,64.9,301,-0.008,202,12.54,37,113.6,28,101.1,45,-5.17,312
28,28,Marquette,7,BE,23-10,21.58,117.7,32,96.1,28,67.6,156,-0.013,214,12.5,38,113,41,100.5,30,8.69,26
29,29,Baylor,9,B12,19-14,21.15,120.8,16,99.7,58,64.5,319,-0.054,314,15.67,10,113.7,27,98,1,7.61,33
30,30,VCU,11,A10,28-6,20.61,116.3,41,95.7,23,66.1,241,-0.051,310,1.3,123,106.9,153,105.6,121,-4.07,289
31,31,Oregon,5,B10,24-9,20.15,116.6,39,96.5,31,67.6,151,0.085,28,14.15,19,114.3,19,100.2,21,4.25,65
32,32,Mississippi St.,8,SEC,21-12,20.1,118.7,23,98.6,47,68.1,124,0.012,144,14.8,14,115,9,100.2,23,0.57,149
33,33,North Carolina,11,ACC,22-13,19.55,118.9,22,99.3,53,70.4,34,-0.019,234,12.18,41,113.3,37,101.2,48,13.34,7
34,34,Georgia,9,SEC,20-12,19.39,115.4,54,96,26,66.4,221,-0.001,184,13.64,25,113.9,25,100.2,22,-5.37,320
35,35,Connecticut,8,BE,23-10,19.34,121.9,14,102.6,94,63.7,344,-0.019,233,10.09,55,112,52,102,54,-0.17,180
36,36,UC San Diego,12,BW,30-4,18.77,115.2,57,96.5,30,65.6,271,0.01,151,-1.63,180,105.8,212,107.4,176,-1.96,231
37,37,Creighton,9,BE,24-10,18.7,116.9,34,98.2,42,67,192,0.049,70,11.49,47,112.2,50,100.7,33,5.57,46
38,38,Oklahoma,9,SEC,20-13,18.36,119,21,100.7,70,68.5,106,0.005,162,14.64,15,114.5,16,99.9,18,-5.35,319
39,40,Arkansas,10,SEC,20-13,17.71,112.9,73,95.2,20,69.3,68,-0.008,201,13.85,23,114.7,13,100.9,41,-2.6,250
40,41,New Mexico,10,MWC,26-7,17.32,112.5,79,95.2,19,72.7,4,0,181,6.29,80,109.1,92,102.8,69,5.12,49
41,42,Colorado St.,12,MWC,25-9,17.29,116.2,43,98.9,49,65.9,252,0.025,116,5.87,86,109.4,89,103.5,78,1.56,126
42,43,Xavier,11,BE,21-11,17.2,115.5,52,98.3,44,69.1,74,-0.02,238,9.39,59,111.1,68,101.7,53,-1.2,213
43,44,Texas,11,SEC,19-15,17.15,116.7,37,99.5,57,67.4,172,-0.057,317,14,20,114.2,23,100.2,20,-8.26,349
44,46,San Diego St.,11,MWC,21-9,16.27,109.8,111,93.5,13,66,245,0.01,153,8.73,62,111.1,66,102.4,62,13.08,8
