Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
1,Auburn,SEC,23-2,36.68,131.1,1,94.4,14,68.3,127,0.064,54,17.01,1,116.6,1,99.6,2,9.98,18
2,Duke,ACC,23-3,36.5,127.5,2,91,4,65.6,280,-0.04,286,8.34,54,112.8,42,104.4,66,7.2,35
3,Houston,B12,21-4,34.86,124.6,10,89.8,3,60.8,360,-0.032,263,10.4,34,112.6,45,102.2,27,2.5,95
4,Florida,SEC,22-3,33.06,126.6,4,93.6,9,69.3,76,0.013,151,10.04,40,112.5,49,102.4,31,-1.66,215
5,Tennessee,SEC,21-5,31.04,118.5,30,87.4,1,63.7,344,0.006,164,12.39,16,115.9,4,103.5,50,-0.79,194
6,Alabama,SEC,21-4,28.55,127.1,3,98.5,38,74.4,1,0.059,60,15.9,2,116.5,2,100.6,6,11.7,10
7,Texas Tech,B12,20-5,27.48,124.9,9,97.5,32,65.7,260,-0.031,262,7.86,58,111,67,103.2,41,-5.52,319
8,Iowa St.,B12,20-5,27.2,120.7,17,93.5,8,68.8,101,-0.002,188,10.14,39,113,38,102.9,37,-2.16,235
9,Wisconsin,B10,20-5,26.8,125.6,6,98.8,43,67.4,187,-0.019,229,12.27,19,114.3,16,102,21,0.66,143
10,Purdue,B10,19-7,26.34,125,8,98.6,39,65.6,275,-0.002,187,14.5,5,115.9,3,101.4,14,10.48,15
11,Gonzaga,WCC,20-7,26.17,125,7,98.8,42,70.3,47,-0.094,347,4.39,84,110.3,80,105.9,98,8.99,23
12,Arizona,B12,18-8,26.1,119.8,23,93.7,10,70.4,44,-0.036,277,14.13,6,115.2,7,101,10,5.64,47
13,Texas A&M,SEC,20-5,25.58,117.6,40,92,6,66.2,240,0.035,109,13.73,7,114.7,11,101,9,7.42,31
14,Maryland,B10,20-6,25.28,121.1,16,95.8,20,69.8,61,-0.033,271,8.04,57,112.6,47,104.5,68,-11.17,360
15,Missouri,SEC,19-6,25.16,123.9,11,98.7,40,67.7,161,-0.004,191,8.38,53,111.8,60,103.4,48,-9.45,357
16,Kansas,B12,17-8,24.95,116.8,47,91.8,5,68.4,120,-0.042,289,13.25,10,114.4,14,101.2,12,7.52,30
17,Michigan St.,B10,20-5,24.74,119.1,27,94.4,13,68,150,-0.021,233,9.5,45,112.8,41,103.3,45,-0.25,176
18,St. John's,BE,22-4,24.4,113.6,79,89.2,2,69.9,59,-0.034,273,7.68,62,111.8,59,104.1,60,-0.35,181
19,Kentucky,SEC,17-8,24.28,126.6,5,102.3,76,70.8,29,-0.023,242,15.32,3,115.4,6,100.1,3,4.13,61
20,Illinois,B10,17-9,24.19,121.3,14,97.1,28,71.9,17,-0.065,322,13.18,12,113.8,21,100.6,5,-1.48,208
21,Saint Mary's,WCC,23-4,24.09,117.7,38,93.7,11,62.2,358,-0.003,189,4.77,79,110.7,74,106,101,5.26,50
